date,open,high,low,close,volume
2023-08-28,16.653,16.973,16.393,16.433,161071.0
2023-08-29,16.343,16.733,16.243,16.573,137208.0
2023-08-30,16.533,16.963,16.473,16.773,188520.0
2023-08-31,16.683,18.213,16.593,17.473,449263.0
2023-09-01,17.303,17.573,16.853,17.573,249521.0
2023-09-04,17.693,18.473,17.653,18.363,475406.0
2023-09-05,18.693,19.473,18.383,18.563,663131.0
2023-09-06,18.293,19.053,17.853,19.003,380775.0
2023-09-07,18.873,18.873,18.193,18.233,233743.0
2023-09-08,18.093,19.293,17.793,18.953,331392.0
2023-09-11,18.873,19.603,18.753,19.293,343641.0
2023-09-12,19.143,19.893,19.123,19.583,329419.0
2023-09-13,19.493,19.493,18.803,19.143,278165.0
2023-09-14,19.193,19.333,18.843,18.963,179344.0
2023-09-15,18.903,19.143,18.473,18.573,205670.0
2023-09-18,18.553,18.793,18.443,18.553,156691.0
2023-09-19,18.523,18.593,18.093,18.133,111959.0
2023-09-20,17.993,18.753,17.993,18.243,126231.0
2023-09-21,18.243,19.213,18.073,18.693,222012.0
2023-09-22,18.773,20.073,18.633,19.783,376094.0
2023-09-25,19.593,19.723,19.403,19.613,188465.0
2023-09-26,19.563,19.753,19.323,19.533,127493.0
2023-09-27,19.293,19.393,18.693,18.953,244321.0
2023-09-28,19.043,19.403,18.753,19.243,170364.0
2023-10-09,19.303,20.053,19.063,19.393,215246.0
2023-10-10,19.493,19.693,19.183,19.423,167614.0
2023-10-11,19.383,19.853,19.253,19.773,187606.0
2023-10-12,19.803,19.833,19.243,19.323,156823.0
2023-10-13,19.143,19.793,19.013,19.543,141325.0
2023-10-16,19.723,20.923,19.693,20.383,349121.0
2023-10-17,20.163,20.853,20.093,20.393,199492.0
2023-10-18,21.393,22.193,20.633,21.043,518019.0
2023-10-19,21.063,21.063,19.543,19.893,389150.0
2023-10-20,19.683,20.013,18.873,19.003,258375.0
2023-10-23,18.863,19.593,18.753,19.073,195105.0
2023-10-24,18.953,19.043,18.323,18.723,185749.0
2023-10-25,18.943,19.773,18.713,18.763,266855.0
2023-10-26,18.673,19.273,18.443,18.513,286006.0
2023-10-27,18.373,18.573,18.063,18.473,204978.0
2023-10-30,18.483,18.483,17.073,17.683,447578.0
2023-10-31,17.483,17.953,17.413,17.663,181777.0
2023-11-01,17.743,17.793,17.373,17.483,140035.0
2023-11-02,17.743,18.643,17.523,18.193,343912.0
2023-11-03,17.943,18.793,17.903,18.533,269786.0
2023-11-06,18.663,19.113,18.533,18.963,225899.0
2023-11-07,18.963,19.643,18.803,19.543,224560.0
2023-11-08,19.923,20.683,19.503,19.793,299692.0
2023-11-09,19.893,20.043,19.493,19.593,189113.0
2023-11-10,19.393,19.683,19.263,19.413,176557.0
2023-11-13,19.453,19.773,19.453,19.713,123538.0
2023-11-14,19.723,19.983,19.613,19.723,127373.0
2023-11-15,19.863,20.233,19.443,20.103,219151.0
2023-11-16,19.803,20.543,19.603,20.103,200056.0
2023-11-17,19.683,19.743,19.293,19.493,258503.0
2023-11-20,19.493,19.623,19.343,19.413,179214.0
2023-11-21,19.403,19.493,19.023,19.043,133020.0
2023-11-22,18.953,19.063,18.693,18.743,131496.0
2023-11-23,18.683,18.803,18.433,18.733,152211.0
2023-11-24,18.723,18.733,18.123,18.213,171468.0
2023-11-27,18.193,18.293,17.813,18.113,145417.0
2023-11-28,18.113,18.143,17.813,18.013,112159.0
2023-11-29,17.923,17.953,17.573,17.693,182211.0
2023-11-30,17.673,17.713,17.383,17.513,123012.0
2023-12-01,17.483,18.003,17.403,17.963,153057.0
2023-12-04,18.093,18.393,17.943,18.233,228650.0
2023-12-05,18.193,18.233,17.303,17.313,200919.0
2023-12-06,17.153,17.373,17.113,17.223,115034.0
2023-12-07,17.193,17.643,17.113,17.543,101207.0
2023-12-08,17.563,18.233,17.563,18.013,178826.0
2023-12-11,17.923,18.033,17.563,17.983,168237.0
2023-12-12,17.963,18.143,17.823,17.933,91625.0
2023-12-13,17.813,17.963,17.673,17.693,71576.0
2023-12-14,17.713,18.003,17.643,17.673,89449.0
2023-12-15,17.703,17.743,17.263,17.263,117334.0
2023-12-18,17.223,17.263,16.793,16.913,132944.0
2023-12-19,16.903,16.963,16.763,16.913,64397.0
2023-12-20,16.923,16.953,16.203,16.263,140283.0
2023-12-21,16.193,16.643,16.053,16.233,128010.0
2023-12-22,16.293,16.323,15.923,15.983,112865.0
2023-12-25,16.023,16.183,15.893,16.093,71939.0
2023-12-26,16.043,16.133,15.613,15.703,86227.0
2023-12-27,15.703,15.863,15.593,15.803,89289.0
2023-12-28,15.833,16.243,15.673,16.163,131137.0
2023-12-29,16.143,16.393,16.053,16.333,126846.0
2024-01-02,16.393,16.433,16.123,16.123,85581.0
2024-01-03,16.093,16.093,15.573,15.583,167398.0
2024-01-04,15.583,15.793,15.513,15.603,114155.0
2024-01-05,15.653,15.703,15.273,15.343,112262.0
2024-01-08,15.343,15.343,14.883,14.893,92342.0
2024-01-09,14.973,15.143,14.663,14.793,100555.0
2024-01-10,14.743,14.763,14.503,14.553,76272.0
2024-01-11,14.513,15.013,14.513,14.863,96692.0
2024-01-12,14.803,14.933,14.493,14.543,97867.0
2024-01-15,14.463,14.613,14.293,14.493,89928.0
2024-01-16,14.433,14.523,14.163,14.423,91971.0
2024-01-17,14.363,14.523,14.023,14.023,70962.0
2024-01-18,13.993,14.183,13.653,14.173,126313.0
2024-01-19,14.173,14.323,14.003,14.023,81574.0
2024-01-22,14.213,14.673,13.143,13.233,154622.0
2024-01-23,13.333,13.743,13.193,13.623,138438.0
2024-01-24,13.793,13.843,13.243,13.823,115134.0
2024-01-25,13.853,14.623,13.703,14.603,164222.0
2024-01-26,14.633,14.693,14.323,14.383,119768.0
2024-01-29,14.383,14.483,13.963,14.033,114700.0
2024-01-30,13.843,14.263,13.613,13.643,112496.0
2024-01-31,13.423,13.763,12.943,13.033,163203.0
2024-02-01,12.893,13.433,12.803,12.993,116836.0
2024-02-02,13.033,13.313,12.103,12.583,176968.0
2024-02-05,12.453,12.573,11.573,12.103,208090.0
2024-02-06,12.013,13.053,11.863,12.973,199192.0
2024-02-07,12.983,13.923,12.883,13.893,269904.0
2024-02-08,14.113,14.983,14.113,14.423,251445.0
2024-02-19,14.853,15.073,14.593,15.033,256193.0
2024-02-20,14.823,14.883,14.453,14.653,179081.0
2024-02-21,14.493,14.913,14.383,14.533,164339.0
2024-02-22,14.983,15.353,14.893,15.263,291001.0
2024-02-23,15.653,15.673,15.293,15.623,310753.0
2024-02-26,15.893,16.243,15.703,16.023,384526.0
2024-02-27,15.803,17.653,15.753,17.653,608800.0
2024-02-28,17.823,18.163,16.723,16.723,692477.0
2024-02-29,16.653,17.853,16.623,17.733,553308.0
2024-03-01,17.583,18.353,17.443,18.173,586531.0
2024-03-04,18.613,19.193,18.133,19.173,702806.0
2024-03-05,18.823,19.173,18.153,18.353,618777.0
2024-03-06,18.153,18.653,18.083,18.333,392171.0
2024-03-07,18.273,18.413,17.653,17.723,384496.0
2024-03-08,17.773,18.903,17.593,18.823,497859.0
2024-03-11,18.543,18.973,18.403,18.803,388494.0
2024-03-12,18.763,18.923,18.293,18.363,301017.0
2024-03-13,18.653,18.713,18.193,18.273,243954.0
2024-03-14,17.893,18.403,17.793,18.093,253937.0
2024-03-15,17.983,18.203,17.713,18.193,258000.0
2024-03-18,18.413,20.043,18.393,20.043,623819.0
2024-03-19,21.073,21.073,19.693,20.283,1066348.0
2024-03-20,20.353,20.573,19.363,19.683,720012.0
2024-03-21,19.393,19.643,18.923,19.023,570107.0
2024-03-22,18.993,19.103,18.213,18.333,467407.0
2024-03-25,18.493,18.753,18.043,18.073,414487.0
2024-03-26,17.693,18.183,17.213,17.263,452150.0
2024-03-27,17.393,17.503,16.543,16.563,321699.0
2024-03-28,16.533,17.713,16.503,17.533,408362.0
2024-03-29,17.453,17.683,16.993,17.623,256248.0
2024-04-01,17.743,18.213,17.703,17.883,284726.0
2024-04-02,17.703,17.833,17.253,17.403,229811.0
2024-04-03,17.243,17.363,16.803,16.923,175536.0
2024-04-08,16.913,16.993,16.593,16.643,169521.0
2024-04-09,16.593,16.743,16.273,16.443,173415.0
2024-04-10,16.403,16.413,15.843,16.003,168419.0
2024-04-11,15.843,16.313,15.843,16.033,160425.0
2024-04-12,16.203,17.273,16.193,16.533,347691.0
2024-04-15,16.393,17.033,16.393,16.693,319120.0
2024-04-16,16.543,16.943,16.003,16.063,285266.0
2024-04-17,16.373,16.803,16.293,16.773,259202.0
2024-04-18,16.683,17.693,16.363,17.133,414718.0
2024-04-19,16.993,17.113,16.363,16.523,287957.0
2024-04-22,15.993,16.193,15.263,15.923,289760.0
2024-04-23,16.123,16.373,15.653,15.743,171738.0
2024-04-24,15.843,16.343,15.823,16.323,226053.0
2024-04-25,16.243,16.243,15.953,16.033,152324.0
2024-04-26,16.153,17.193,16.153,17.133,428913.0
2024-04-29,17.293,18.073,17.283,17.893,410584.0
2024-04-30,17.883,17.883,17.213,17.373,267209.0
2024-05-06,17.623,17.713,17.083,17.223,321799.0
2024-05-07,17.263,17.413,16.973,17.203,202522.0
2024-05-08,17.123,17.483,16.953,17.143,230714.0
2024-05-09,17.063,17.263,17.003,17.213,173564.0
2024-05-10,17.173,17.173,16.593,16.713,198089.0
2024-05-13,16.703,16.723,16.313,16.373,215241.0
2024-05-14,16.373,16.663,16.123,16.363,177977.0
2024-05-15,16.363,16.493,16.143,16.193,121506.0
2024-05-16,16.313,16.693,16.313,16.393,218695.0
2024-05-17,16.403,16.613,16.313,16.553,136745.0
2024-05-20,16.583,16.963,16.403,16.923,231380.0
2024-05-21,16.863,16.863,16.563,16.593,149323.0
2024-05-22,16.623,16.683,16.343,16.393,151805.0
2024-05-23,16.453,16.543,16.043,16.143,167562.0
2024-05-24,16.143,17.233,15.993,16.493,446811.0
2024-05-27,16.153,16.323,15.623,16.163,322349.0
2024-05-28,15.993,16.173,15.743,15.783,157484.0
2024-05-29,15.793,15.953,15.673,15.733,106701.0
2024-05-30,15.703,15.893,15.443,15.783,103730.0
2024-05-31,15.873,16.153,15.783,15.783,133984.0
2024-06-03,15.823,16.033,15.693,15.853,137574.0
2024-06-04,15.803,15.923,15.623,15.893,139742.0
2024-06-05,15.883,15.973,15.603,15.633,132868.0
2024-06-06,15.723,15.833,15.293,15.333,177745.0
2024-06-07,15.483,15.523,14.993,15.193,142784.0
2024-06-11,15.133,15.433,15.033,15.383,97481.0
2024-06-12,15.383,15.643,15.333,15.583,96203.0
2024-06-13,15.583,15.773,15.483,15.583,101163.0
2024-06-14,15.553,16.013,15.443,15.943,227063.0
2024-06-17,15.853,16.013,15.793,15.913,122693.0
2024-06-18,15.923,16.243,15.923,16.093,174151.0
2024-06-19,16.083,16.223,15.923,15.943,122481.0
2024-06-20,15.903,15.933,15.503,15.533,152847.0
2024-06-21,15.473,15.813,15.273,15.653,115113.0
2024-06-24,15.553,15.663,15.083,15.123,131341.0
2024-06-25,15.123,15.163,14.583,14.683,152166.0
